timestamp,price,open,high,low,volume,Change %
09/20/2023,27149,27244,27414,26847,1.44K,-0.35%
09/19/2023,27244,26788,27506,26700,1.60K,1.70%
09/18/2023,26788,26547,27452,26444,2.87K,0.91%
09/17/2023,26547,26576,26632,26444,0.33K,-0.11%
09/16/2023,26576,26625,26792,26477,0.32K,-0.18%
09/15/2023,26625,26544,26862,26255,0.90K,0.31%
09/14/2023,26544,26238,26832,26151,2.56K,1.17%
09/13/2023,26238,25851,26430,25797,0.87K,1.50%
09/12/2023,25851,25183,26566,25152,2.49K,2.65%
09/11/2023,25183,25860,25904,24927,1.24K,-2.62%
09/10/2023,25860,25910,26009,25638,0.50K,-0.19%
09/09/2023,25910,25918,25948,25823,0.27K,-0.03%
09/08/2023,25918,26264,26435,25692,0.86K,-1.32%
09/07/2023,26264,25783,26444,25645,1.21K,1.87%
09/06/2023,25783,25793,26023,25453,1.14K,-0.04%
09/05/2023,25793,25823,25886,25602,1.02K,-0.12%
09/04/2023,25823,25980,26092,25666,0.72K,-0.60%
09/03/2023,25980,25870,26114,25826,0.45K,0.43%
09/02/2023,25870,25816,25995,25763,1.17K,0.21%
09/01/2023,25816,25967,26164,25354,2.05K,-0.58%
08/31/2023,25967,27325,27550,25750,3.63K,-4.97%
08/30/2023,27325,27752,27789,27085,1.29K,-1.54%
08/29/2023,27752,26147,28097,25954,2.68K,6.14%
08/28/2023,26147,26121,26264,25900,0.69K,0.10%
08/27/2023,26121,26045,26198,25997,0.13K,0.29%
08/26/2023,26045,26079,26142,26019,0.21K,-0.13%
08/25/2023,26079,26199,26314,25825,1.27K,-0.46%
08/24/2023,26199,26461,26598,25962,0.83K,-0.99%
08/23/2023,26461,26057,26834,25840,1.19K,1.55%
08/22/2023,26057,26144,26156,25490,1.07K,-0.33%
08/21/2023,26144,26215,26255,25850,0.90K,-0.27%
08/20/2023,26215,26115,26305,26018,0.60K,0.38%
08/19/2023,26115,26066,26279,25812,0.33K,0.19%
08/18/2023,26066,26661,26823,25699,2.04K,-2.23%
08/17/2023,26661,28730,28778,24863,4.96K,-7.20%
08/16/2023,28730,29200,29255,28728,1.07K,-1.61%
08/15/2023,29200,29445,29499,29109,0.49K,-0.83%
08/14/2023,29445,29314,29689,29103,0.79K,0.45%
08/13/2023,29314,29445,29477,29297,0.27K,-0.44%
08/12/2023,29445,29434,29495,29393,0.20K,0.04%
08/11/2023,29434,29458,29549,29258,1.10K,-0.08%
08/10/2023,29458,29597,29745,29384,1.44K,-0.47%
08/09/2023,29597,29796,30163,29393,1.22K,-0.67%
08/08/2023,29796,29223,30235,29165,1.36K,1.96%
08/07/2023,29223,29095,29289,28722,1.03K,0.44%
08/06/2023,29095,29075,29198,29007,0.39K,0.07%
08/05/2023,29075,29119,29153,28993,0.41K,-0.15%
08/04/2023,29119,29206,29335,28863,0.59K,-0.30%
08/03/2023,29206,29197,29438,28995,0.62K,0.03%
08/02/2023,29197,29746,30056,28975,1.18K,-1.85%
08/01/2023,29746,29273,29746,28663,1.64K,1.62%
07/31/2023,29273,29315,29560,29164,0.45K,-0.14%
07/30/2023,29315,29402,29488,29111,0.49K,-0.30%
07/29/2023,29402,29365,29443,29305,0.15K,0.13%
07/28/2023,29365,29256,29578,29169,0.32K,0.37%
07/27/2023,29256,29390,29601,29123,0.61K,-0.46%
07/26/2023,29390,29272,29720,29150,0.75K,0.40%
07/25/2023,29272,29224,29404,29101,0.37K,0.16%
07/24/2023,29224,30122,30125,28931,1.62K,-2.98%
07/23/2023,30122,29811,30370,29777,0.50K,1.04%
07/22/2023,29811,29942,30035,29673,0.19K,-0.44%
07/21/2023,29942,29839,30091,29770,1.12K,0.35%
07/20/2023,29839,29939,30438,29625,1.31K,-0.33%
07/19/2023,29939,29888,30220,29829,0.50K,0.17%
07/18/2023,29888,30172,30269,29618,1.28K,-0.94%
07/17/2023,30172,30260,30353,29701,1.33K,-0.29%
07/16/2023,30260,30310,30469,30108,0.53K,-0.16%
07/15/2023,30310,30343,30419,30283,0.38K,-0.11%
07/14/2023,30343,31500,31657,29969,2.41K,-3.67%
07/13/2023,31500,30428,31814,30307,2.91K,3.52%
07/12/2023,30428,30654,30998,30260,1.07K,-0.74%
07/11/2023,30654,30445,30822,30359,0.71K,0.69%
07/10/2023,30445,30188,31044,29988,1.28K,0.85%
07/09/2023,30188,30318,30459,30081,0.78K,-0.43%
07/08/2023,30318,30370,30406,30086,0.46K,-0.17%
07/07/2023,30370,29942,30469,29779,1.19K,1.43%
07/06/2023,29942,30532,31530,29901,2.31K,-1.93%
07/05/2023,30532,30782,30897,30239,1.25K,-0.81%
07/04/2023,30782,31176,31345,30656,1.67K,-1.26%
07/03/2023,31176,30663,31416,30607,1.36K,1.67%
07/02/2023,30663,30607,30817,30200,0.70K,0.18%
07/01/2023,30607,30500,30689,30356,0.95K,0.35%
06/30/2023,30500,30471,31299,29617,3.22K,0.10%
06/29/2023,30471,30094,30844,30062,0.98K,1.25%
06/28/2023,30094,30711,30731,29900,1.21K,-2.01%
06/27/2023,30711,30287,31018,30246,1.13K,1.40%
06/26/2023,30287,30485,30672,29981,1.03K,-0.65%
06/25/2023,30485,30556,31058,30334,0.65K,-0.23%
06/24/2023,30556,30708,30820,30294,0.73K,-0.49%
06/23/2023,30708,29920,31415,29838,2.29K,2.63%
06/22/2023,29920,30013,30506,29678,1.68K,-0.31%
06/21/2023,30013,28325,30769,28286,3.14K,5.96%
06/20/2023,28325,26866,28406,26676,2.17K,5.43%
06/19/2023,26866,26358,27056,26293,0.96K,1.93%
06/18/2023,26358,26535,26712,26293,0.53K,-0.67%
06/17/2023,26535,26357,26789,26202,0.81K,0.68%
06/16/2023,26357,25611,26506,25244,1.02K,2.91%
06/15/2023,25611,25146,25766,24862,1.11K,1.85%
06/14/2023,25146,25941,26113,24853,1.26K,-3.06%
06/13/2023,25941,25933,26428,25748,0.79K,0.03%
06/12/2023,25933,25953,26106,25650,0.36K,-0.08%
06/11/2023,25953,25870,26230,25669,0.53K,0.32%
06/10/2023,25870,26502,26556,25468,1.66K,-2.38%
06/09/2023,26502,26526,26804,26303,0.49K,-0.09%
06/08/2023,26526,26365,26811,26248,0.70K,0.61%
06/07/2023,26365,27233,27368,26157,1.79K,-3.19%
06/06/2023,27233,25730,27342,25392,1.69K,5.84%
06/05/2023,25730,27126,27134,25420,3.02K,-5.15%
06/04/2023,27126,27077,27446,26963,0.46K,0.18%
06/03/2023,27077,27254,27331,26925,0.44K,-0.65%
06/02/2023,27254,26833,27301,26523,0.79K,1.57%
06/01/2023,26833,27220,27348,26666,0.83K,-1.42%
05/31/2023,27220,27723,27855,26859,1.34K,-1.81%
05/30/2023,27723,27772,28065,27600,0.49K,-0.18%
05/29/2023,27772,28096,28463,27579,0.82K,-1.15%
05/28/2023,28096,26885,28263,26804,1.60K,4.50%
05/27/2023,26885,26737,26917,26608,0.24K,0.55%
05/26/2023,26737,26498,26937,26359,0.96K,0.90%
05/25/2023,26498,26344,26620,25889,0.64K,0.58%
05/24/2023,26344,27243,27243,26100,0.92K,-3.30%
05/23/2023,27243,26869,27481,26829,0.59K,1.39%
05/22/2023,26869,26760,27101,26562,0.54K,0.41%
05/21/2023,26760,27126,27285,26701,0.52K,-1.35%
05/20/2023,27126,26911,27168,26863,0.18K,0.80%
05/19/2023,26911,26862,27198,26676,0.33K,0.18%
05/18/2023,26862,27425,27504,26443,1.59K,-2.05%
05/17/2023,27425,27054,27511,26614,1.88K,1.37%
05/16/2023,27054,27190,27313,26899,0.80K,-0.50%
05/15/2023,27190,26937,27671,26764,0.98K,0.94%
05/14/2023,26937,26790,27194,26639,0.37K,0.55%
05/13/2023,26790,26818,27065,26713,0.35K,-0.10%
05/12/2023,26818,27016,27101,25884,1.82K,-0.73%
05/11/2023,27016,27622,27654,26795,1.79K,-2.19%
05/10/2023,27622,27668,28338,26855,1.70K,-0.17%
05/09/2023,27668,27701,27844,27386,0.75K,-0.12%
05/08/2023,27701,28464,28682,27309,1.59K,-2.68%
05/07/2023,28464,28909,29175,28464,0.64K,-1.54%
05/06/2023,28909,29526,29836,28415,1.15K,-2.09%
05/05/2023,29526,28844,29687,28844,1.41K,2.36%
05/04/2023,28844,29037,29370,28706,0.81K,-0.66%
05/03/2023,29037,28679,29277,28161,1.03K,1.25%
05/02/2023,28679,28106,28888,27919,1.24K,2.04%
05/01/2023,28106,29255,29347,27700,1.80K,-3.93%
04/30/2023,29255,29253,29962,29113,1.37K,0.01%
04/29/2023,29253,29338,29454,29085,0.35K,-0.29%
04/28/2023,29338,29479,29589,28911,1.40K,-0.48%
04/27/2023,29479,28433,29885,28395,1.89K,3.68%
04/26/2023,28433,28324,30028,27263,3.46K,0.38%
04/25/2023,28324,27522,28389,27224,0.98K,2.91%
04/24/2023,27522,27613,28000,26998,1.38K,-0.33%
04/23/2023,27613,27826,27827,27364,0.69K,-0.77%
04/22/2023,27826,27287,27884,27163,0.71K,1.98%
04/21/2023,27287,28248,28378,27191,1.37K,-3.40%
04/20/2023,28248,28826,29098,28035,1.55K,-2.01%
04/19/2023,28826,30392,30412,28645,3.76K,-5.15%
