timestamp,open,high,low,close,volume
2018-01-02,210.0500030517578,210.1699981689453,205.5800018310547,206.32000732421875,812300
2018-01-03,206.3500061035156,207.66000366210935,205.7400054931641,206.7700042724609,580000
2018-01-04,205.8999938964844,207.00999450683597,202.57000732421875,203.1100006103516,799600
2018-01-05,203.3300018310547,204.0399932861328,201.7100067138672,201.9199981689453,644600
2018-01-08,202.08999633789065,204.1499938964844,201.94000244140625,203.52999877929688,768600
2018-01-09,204.07000732421875,204.1999969482422,200.91000366210935,201.1499938964844,659300
2018-01-10,199.6699981689453,200.07000732421875,195.3000030517578,196.1100006103516,1133200
2018-01-11,196.8000030517578,197.3699951171875,195.00999450683597,196.1199951171875,1093600
2018-01-12,196.0200042724609,196.5,193.3999938964844,193.5500030517578,957400
2018-01-16,194.1999969482422,198.42999267578125,193.5200042724609,193.75,1034200
2018-01-17,194.8000030517578,197.0200042724609,194.44000244140625,195.69000244140625,737900
2018-01-18,195.1199951171875,195.67999267578125,192.6000061035156,193.25,1241000
2018-01-19,193.91000366210935,194.5,192.6999969482422,193.55999755859372,646100
2018-01-22,194.13999938964844,194.6199951171875,192.50999450683597,193.77999877929688,909600
2018-01-23,194.0,198.5500030517578,193.55999755859372,198.08999633789065,982000
2018-01-24,197.82000732421875,198.00999450683597,194.30999755859372,194.9199981689453,687000
2018-01-25,194.0,194.77999877929688,190.82000732421875,192.57000732421875,855500
2018-01-26,193.2700042724609,193.67999267578125,190.6999969482422,192.8500061035156,1083200
2018-01-29,192.5,192.92999267578125,190.1499938964844,192.5399932861328,1121900
2018-01-30,192.5399932861328,194.2899932861328,190.25999450683597,193.6000061035156,1535500
2018-01-31,193.4900054931641,195.75999450683597,191.8800048828125,195.75999450683597,2749400
2018-02-01,196.1000061035156,196.5800018310547,190.7100067138672,190.97999572753903,1125600
2018-02-02,190.1000061035156,191.9499969482422,188.38999938964844,190.30999755859372,974000
2018-02-05,189.47000122070312,191.72999572753903,183.2700042724609,184.97999572753903,1088800
2018-02-06,182.97999572753903,187.08999633789065,180.92999267578125,185.3999938964844,1566400
2018-02-07,184.6499938964844,188.6199951171875,183.75999450683597,185.3500061035156,1021700
2018-02-08,185.3500061035156,185.9499969482422,180.47999572753903,180.4900054931641,1213700
2018-02-09,181.75,188.6999969482422,180.7100067138672,187.16000366210935,2002100
2018-02-12,187.6300048828125,188.57000732421875,182.92999267578125,187.82000732421875,1405600
2018-02-13,187.9499969482422,190.27999877929688,187.5,189.1999969482422,1054500
2018-02-14,187.80999755859372,188.1499938964844,184.69000244140625,186.77999877929688,963800
2018-02-15,187.5200042724609,191.3500061035156,187.0,190.47999572753903,931900
2018-02-16,189.97999572753903,190.9600067138672,187.0200042724609,188.75,1112600
